network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GNEO2,4,KOG,0.3,0.25,0.1,0.1,0.994171714880008,13.0,13.601130549761844,2.4254674884663516,12.992720788077884,12.999127936879862,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,24.843439615865044,13.699938874375556,0.5514509700028317
GNEO2,4,KOG,0.3,0.25,0.11182579648071041,0.1,0.994171714880008,13.0,13.60102758503455,2.4254554985798293,12.99272078816535,12.999127936967108,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.079136049780207,13.688181331652473,0.5457995564313881
GNEO2,4,KOG,0.3,0.25,0.12505008758545266,0.1,0.994171714880008,13.0,13.601457390675495,2.4255136835743265,12.992720787805464,12.999127936608119,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.34372929939112,13.675582901334408,0.539604205039507
GNEO2,4,KOG,0.3,0.25,0.1398382564422584,0.1,0.994171714880008,13.0,13.601940985960749,2.4255784189843643,12.992720787400051,12.999127936203712,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.497020951370907,13.661497900411762,0.5358076116604995
GNEO2,4,KOG,0.3,0.25,0.15637524405129377,0.1,0.994171714880008,13.0,13.601225575603621,2.425479789544344,12.992720787999298,12.999127936801473,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.34906806442436,13.644480814212827,0.5382636071486154
GNEO2,4,KOG,0.3,0.25,0.174867862159014,0.1,0.994171714880008,13.0,13.605157182516308,2.426010497135627,12.992720784707979,12.999127933518322,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.700401159663446,13.630223624771839,0.5303506174901408
GNEO2,4,KOG,0.3,0.25,0.1955473796481082,0.1,0.994171714880008,13.0,13.608318661440293,2.4264603959149444,12.992720782069586,12.999127930886482,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.75192095059382,13.61303975721183,0.5286223029081613
GNEO2,4,KOG,0.3,0.25,0.2186724147886556,0.1,0.994171714880008,13.0,13.60739720228996,2.4263346295951975,12.992720782840806,12.999127931655782,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.768399923889966,13.589326114429136,0.5273639866878358
GNEO2,4,KOG,0.3,0.25,0.24453216952101695,0.1,0.994171714880008,13.0,13.604431619196552,2.4259130500011326,12.992720785315733,12.99912793412457,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.808285020651144,13.56085487060481,0.5254457961756759
GNEO2,4,KOG,0.3,0.25,0.27345004621843816,0.1,0.994171714880008,13.0,13.604509333756168,2.425923452456285,12.99272078525062,12.999127934059619,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.86515543259595,13.532444776703585,0.5231920918460687
GNEO2,4,KOG,0.3,0.25,0.3057876921606392,0.1,0.994171714880008,13.0,13.603257487607712,2.4257494820898517,12.992720786295054,12.999127935101457,2,1.248279520455487,11.449753085455509,13.602935229144286,2.4257163699121773,True,True,25.696087857004358,13.499326413353684,0.5253455891214186
