network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GNE,3,KmiEN,2.4,2.0,0.1,0.1,0.9936326815892887,13.0,13.603983269708072,2.4231985837344814,7.086707650257915,13.603983269708072,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,23.64997721650466,13.70236533624839,0.5793817563040141
GNE,3,KmiEN,2.4,2.0,0.11182579648071041,0.1,0.9936326815892887,13.0,13.603964814669474,2.4231960506558083,7.086753927971845,13.603964814669474,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,23.3760961263068,13.69069228256608,0.5856706016518712
GNE,3,KmiEN,2.4,2.0,0.12505008758545266,0.1,0.9936326815892887,13.0,13.604153266459239,2.423221611092207,7.086302756644992,13.604153266459239,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,23.546300290536614,13.67785001968406,0.5808916836578892
GNE,3,KmiEN,2.4,2.0,0.1398382564422584,0.1,0.9936326815892887,13.0,13.607272590233737,2.4236466013701357,7.078819280791216,13.607272590233737,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,23.763062536680515,13.666423126152816,0.5751120296492681
GNE,3,KmiEN,2.4,2.0,0.15637524405129377,0.1,0.9936326815892887,13.0,13.606136657675874,2.423490542998343,7.081551183772899,13.606136657675874,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,24.326760155221834,13.648981294837625,0.5610686013158978
GNE,3,KmiEN,2.4,2.0,0.174867862159014,0.1,0.9936326815892887,13.0,13.604600905614774,2.4232817998939424,7.0852344336438975,13.604600905614774,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,24.69666651786899,13.629210099642824,0.5518643615235103
GNE,3,KmiEN,2.4,2.0,0.1955473796481082,0.1,0.9936326815892887,13.0,13.603427346459213,2.4231229056969337,7.0880419607274385,13.603427346459213,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,22.594829763353395,13.607650246805592,0.6022461947854933
GNE,3,KmiEN,2.4,2.0,0.2186724147886556,0.1,0.9936326815892887,13.0,13.603297726097136,2.423105416765675,7.08835123053976,13.603297726097136,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,22.960160808550654,13.584734576042539,0.5916654804518361
GNE,3,KmiEN,2.4,2.0,0.24453216952101695,0.1,0.9936326815892887,13.0,13.604800758207118,2.4233090682935132,7.0847552174632815,13.604800758207118,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,24.59012126090023,13.56077216786151,0.5514723585126826
GNE,3,KmiEN,2.4,2.0,0.27345004621843816,0.1,0.9936326815892887,13.0,13.601648902148055,2.422882475400199,7.09228600545955,13.601648902148055,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,24.217011736382073,13.529104469170342,0.5586611848085736
GNE,3,KmiEN,2.4,2.0,0.3057876921606392,0.1,0.9936326815892887,13.0,13.601882268543594,2.422914312204247,7.091726113584004,13.601882268543594,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,23.49911696353082,13.49748353901436,0.5743825846716547
GNE,3,KmiEN,2.4,2.0,0.34194952229861764,0.1,0.9936326815892887,13.0,13.60108873222376,2.4228069496085074,7.093619483629081,13.60108873222376,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,21.862268723351377,13.461062540279793,0.615721209478221
GNE,3,KmiEN,2.4,2.0,0.38238777687241365,0.1,0.9936326815892887,13.0,13.602664444714707,2.423019772579581,7.089863275294823,13.602664444714707,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,22.866110865991384,13.422821463391779,0.5870181222358828
GNE,3,KmiEN,2.4,2.0,0.42760817713245836,0.1,0.9936326815892887,13.0,13.602416674856348,2.422986268038942,7.090454286139717,13.602416674856348,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,22.559242726333828,13.378035885480166,0.5930179504591142
GNE,3,KmiEN,2.4,2.0,0.4781762498950185,0.1,0.9936326815892887,13.0,13.602142318567195,2.4229499982472094,7.091102593842749,13.602142318567195,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,22.507794372000212,13.32796241238755,0.5921487548761147
GNE,3,KmiEN,2.4,2.0,0.5347244000266966,0.1,0.9936326815892887,13.0,13.601922676384854,2.4229195268933346,7.091632771424769,13.601922676384854,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.592194724818828,13.272061856474295,0.6774157792369034
GNE,3,KmiEN,2.4,2.0,0.5979598193065536,0.1,0.9936326815892887,13.0,13.600236683427013,2.422692116101239,7.095645712247617,13.600236683427013,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.207567102739436,13.20810744646791,0.6876512457730336
GNE,3,KmiEN,2.4,2.0,0.6686733305741702,0.1,0.9936326815892887,13.0,13.601153249583643,2.4228156596144492,7.093464537372804,13.601153249583643,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.176026654783772,13.139425765387669,0.6852006415056701
GNE,3,KmiEN,2.4,2.0,0.7477492777686596,0.1,0.9936326815892887,13.0,13.602353955392978,2.4229779820057726,7.090603419121555,13.602353955392978,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.393892154171816,13.062813177982934,0.6735529451303561
GNE,3,KmiEN,2.4,2.0,0.8361765855435632,0.1,0.9936326815892887,13.0,13.601967966659153,2.422927178946521,7.091513348803259,13.601967966659153,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.81393655751829,12.97541599583048,0.6548631039654272
GNE,3,KmiEN,2.4,2.0,0.9350611267692985,0.1,0.9936326815892887,13.0,13.60199243105866,2.422930138789082,7.091458013749857,13.60199243105866,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,17.621209772103136,12.878165750497253,0.7308332354618018
GNE,3,KmiEN,2.4,2.0,1.0456395525912732,0.1,0.9936326815892887,13.0,13.602111597122045,2.422946126553055,7.091174960360658,13.602111597122045,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,17.493930227943117,12.769536754007587,0.7299409902533371
GNE,3,KmiEN,2.4,2.0,1.169294758002528,0.1,0.9936326815892887,13.0,13.602017741351649,2.422933463410523,7.091398071658805,13.602017741351649,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,17.843384816524043,12.647870202375177,0.7088268471720955
GNE,3,KmiEN,2.4,2.0,1.3075731763435225,0.1,0.9936326815892887,13.0,13.602382396196663,2.4229818770141236,7.090533326645748,13.602382396196663,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,17.915896532710725,12.512337054024794,0.6983930182438737
GNE,3,KmiEN,2.4,2.0,1.4622041190142678,0.1,0.9936326815892887,13.0,13.60185293426806,2.4229108727654682,7.09179249434418,13.60185293426806,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,18.31989659051831,12.359894347465305,0.6746705302835782
GNE,3,KmiEN,2.4,2.0,1.6351214022614597,0.1,0.9936326815892887,13.0,13.601383311298903,2.422846682766717,7.092918591288816,13.601383311298903,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.009950445734734,12.189628410551357,0.6412235763237535
GNE,3,KmiEN,2.4,2.0,1.8284875315054385,0.1,0.9936326815892887,13.0,13.602516535979877,2.4229997636093827,7.090216829403907,13.602516535979877,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.823731802953077,12.00100357886517,0.6053856911581814
GNE,3,KmiEN,2.4,2.0,2.044720745656438,0.1,0.9936326815892887,13.0,13.602199101499101,2.422957793082074,7.090967349553198,13.602199101499101,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.88275963562886,11.788614797940102,0.592906367827106
GNE,3,KmiEN,2.4,2.0,2.2865252596366314,0.1,0.9936326815892887,13.0,13.602216081108937,2.42296003384453,7.090927101696776,13.602216081108937,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,19.93842855606416,11.551666636723532,0.5793669548350718
GNE,3,KmiEN,2.4,2.0,2.556925083321295,0.1,0.9936326815892887,13.0,13.602355318620871,2.4229784994800063,7.090597528349706,13.602355318620871,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,20.2713696198232,11.287061539298723,0.5567981715582355
GNE,3,KmiEN,2.4,2.0,2.859301839839107,0.1,0.9936326815892887,13.0,13.602552679590714,2.4230048196682126,7.090128859793887,13.602552679590714,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,20.26129576084059,10.991532650091404,0.5424891270446266
GNE,3,KmiEN,2.4,2.0,3.197437056187687,0.1,0.9936326815892887,13.0,13.60223910784335,2.4229626976615126,7.090872764319067,13.60223910784335,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,20.415270713782498,10.660959686110099,0.5222051588526233
GNE,3,KmiEN,2.4,2.0,3.5755594550512613,0.1,0.9936326815892887,13.0,13.60225635631644,2.422965018848788,7.090831678562109,13.60225635631644,2,1.1646082086729823,11.459819948653463,13.603005871884426,2.4230666254114,True,True,20.367588151126004,10.292269780210578,0.5053258983755314
