network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GNE,3,KmiNG,21.0,5.0,0.1,0.1,0.994171714880008,13.0,14.197376040939915,10.371845587186579,12.99147679481939,14.197376040939915,1,-1.0,-1.0,-1.0,-1.0,False,,21.11657586394159,17.442672473181144,0.8260180336796952
GNE,3,KmiNG,21.0,5.0,0.11182579648071041,0.1,0.994171714880008,13.0,14.201624004663072,10.375967146298759,12.991465538688727,14.201624004663072,1,-1.0,-1.0,-1.0,-1.0,False,,19.229259051039804,17.438976871912825,0.9068980154474453
GNE,3,KmiNG,21.0,5.0,0.12505008758545266,0.1,0.994171714880008,13.0,14.20569726111831,10.379949783811492,12.991454115021618,14.20569726111831,1,-1.0,-1.0,-1.0,-1.0,False,,18.6665623797251,17.43393221230382,0.933965872111508
GNE,3,KmiNG,21.0,5.0,0.1398382564422584,0.1,0.994171714880008,13.0,14.20051206276524,10.374882680898363,12.991468579534788,14.20051206276524,1,-1.0,-1.0,-1.0,-1.0,False,,19.34236105956323,17.414814440413725,0.900345846444817
GNE,3,KmiNG,21.0,5.0,0.15637524405129377,0.1,0.994171714880008,13.0,14.204458624607927,10.37873394636579,12.991457667117569,14.204458624607927,1,-1.0,-1.0,-1.0,-1.0,False,,19.48160414056928,17.406924432743537,0.8935057045171477
GNE,3,KmiNG,21.0,5.0,0.174867862159014,0.1,0.994171714880008,13.0,14.204590050418064,10.378862544118771,12.991457297963935,14.204590050418064,1,-1.0,-1.0,-1.0,-1.0,False,,19.60306979315352,17.392185598153446,0.8872174502091383
GNE,3,KmiNG,21.0,5.0,0.1955473796481082,0.1,0.994171714880008,13.0,14.204381625918066,10.378658414653913,12.991457884302779,14.204381625918066,1,-1.0,-1.0,-1.0,-1.0,False,,19.569016111057657,17.37521958838511,0.8878943882399422
GNE,3,KmiNG,21.0,5.0,0.2186724147886556,0.1,0.994171714880008,13.0,14.203947891809175,10.378233737158112,12.99145910097081,14.203947891809175,1,-1.0,-1.0,-1.0,-1.0,False,,19.50262324290493,17.355979342111663,0.8899305045246044
GNE,3,KmiNG,21.0,5.0,0.24453216952101695,0.1,0.994171714880008,13.0,14.204297990972965,10.378576683273574,12.991458118485014,14.204297990972965,1,-1.0,-1.0,-1.0,-1.0,False,,19.443211464529206,17.335633833918884,0.891603419812862
GNE,3,KmiNG,21.0,5.0,0.27345004621843816,0.1,0.994171714880008,13.0,14.204275677990431,10.37855483008183,12.99145818118628,14.204275677990431,1,-1.0,-1.0,-1.0,-1.0,False,,19.44039563010034,17.31232486345592,0.8905335669532649
GNE,3,KmiNG,21.0,5.0,0.3057876921606392,0.1,0.994171714880008,13.0,14.204787199400302,10.379055786966052,12.991456741429253,14.204787199400302,1,-1.0,-1.0,-1.0,-1.0,False,,19.60475278368099,17.287023317327037,0.8817771643474519
GNE,3,KmiNG,21.0,5.0,0.34194952229861764,0.1,0.994171714880008,13.0,14.208454364836802,10.382644171660557,12.991446380810919,14.208454364836802,1,-1.0,-1.0,-1.0,-1.0,False,,19.988278835473494,17.263045145892416,0.8636584114113635
GNE,3,KmiNG,21.0,5.0,0.38238777687241365,0.1,0.994171714880008,13.0,14.20832327497424,10.382515700042168,12.991446757185445,14.20832327497424,1,-1.0,-1.0,-1.0,-1.0,False,,20.30173310706328,17.23039818226166,0.8487156289266231
