network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GNE,3,alphaGN,12.0,3.0,0.1,0.1,0.994171714880008,13.0,39.52319316615605,2.305121200716258,12.163527279489985,39.52319316615605,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,26.907781719296132,39.48481630862553,1.4674125396338467
GNE,3,alphaGN,12.0,3.0,0.11182579648071041,0.1,0.994171714880008,13.0,39.51476373824803,2.3050371107143097,12.165560342737347,39.51476373824803,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,26.155651513105855,39.46458801384342,1.5088359773438957
GNE,3,alphaGN,12.0,3.0,0.12505008758545266,0.1,0.994171714880008,13.0,39.542631652567856,2.3053175216356023,12.158829072288862,39.542631652567856,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,26.658522956111476,39.47922443264652,1.4809231740874036
GNE,3,alphaGN,12.0,3.0,0.1398382564422584,0.1,0.994171714880008,13.0,39.53934188137162,2.3052826149392525,12.159632292050873,39.53934188137162,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,24.38333204433144,39.461172781641636,1.618366706810091
GNE,3,alphaGN,12.0,3.0,0.15637524405129377,0.1,0.994171714880008,13.0,39.51592414849992,2.3050480970183975,12.16528400930824,39.51592414849992,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,24.743480768216095,39.42126744628903,1.5931981363320187
GNE,3,alphaGN,12.0,3.0,0.174867862159014,0.1,0.994171714880008,13.0,39.515295961232866,2.305042644068368,12.165430903730684,39.515295961232866,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,25.18610660971476,39.40217628609567,1.5644409394700767
GNE,3,alphaGN,12.0,3.0,0.1955473796481082,0.1,0.994171714880008,13.0,39.512582526558035,2.3050151117190776,12.166087954236446,39.512582526558035,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,25.066705137613717,39.37881847372086,1.5709610919159527
GNE,3,alphaGN,12.0,3.0,0.2186724147886556,0.1,0.994171714880008,13.0,39.51442008649521,2.30503367432166,12.165643285980842,39.51442008649521,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,24.834999664348842,39.35756545549182,1.5847620691531727
GNE,3,alphaGN,12.0,3.0,0.24453216952101695,0.1,0.994171714880008,13.0,39.514464185514306,2.305034105751362,12.165632690294633,39.514464185514306,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,24.83750167228797,39.33179039845837,1.5835646804341097
GNE,3,alphaGN,12.0,3.0,0.27345004621843816,0.1,0.994171714880008,13.0,39.516765619633794,2.305057229868677,12.165077689779613,39.516765619633794,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,25.627432628106053,39.30521714202404,1.5337165338566658
GNE,3,alphaGN,12.0,3.0,0.3057876921606392,0.1,0.994171714880008,13.0,39.54894671170177,2.305378651704068,12.157316669466791,39.54894671170177,2,1.0058929711620417,29.841408942087014,39.509776785877925,2.3049885197647133,True,False,24.32419264224849,39.30507886813591,1.6158842123239576
