network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GN,2,KmiNG,0.24,0.2,0.1,0.1,0.994171714880008,13.0,1.0014513384433255,6.238726089234239,1.0014513384433255,1.0014513384433255,1,-1.0,-1.0,-1.0,-1.0,False,,20.21297203379969,6.204560622173529,0.3069593433265726
GN,2,KmiNG,0.24,0.2,0.11182579648071041,0.1,0.994171714880008,13.0,1.0014516042266426,6.238753396981282,1.0014516042266426,1.0014516042266426,1,-1.0,-1.0,-1.0,-1.0,False,,20.2487386012473,6.202880568474362,0.3063341717539023
GN,2,KmiNG,0.24,0.2,0.12505008758545266,0.1,0.994171714880008,13.0,1.001451554156348,6.238750014178987,1.001451554156348,1.001451554156348,1,-1.0,-1.0,-1.0,-1.0,False,,20.290532139774733,6.20099437729064,0.30561023903040346
GN,2,KmiNG,0.24,0.2,0.1398382564422584,0.1,0.994171714880008,13.0,1.001451101769965,6.238707578221832,1.001451101769965,1.001451101769965,1,-1.0,-1.0,-1.0,-1.0,False,,20.339977526740558,6.198879529895049,0.3047633421298282
GN,2,KmiNG,0.24,0.2,0.15637524405129377,0.1,0.994171714880008,13.0,1.0014500935964448,6.238611221525668,1.0014500935964448,1.0014500935964448,1,-1.0,-1.0,-1.0,-1.0,False,,20.399230407024113,6.196507018504426,0.30376180350268356
GN,2,KmiNG,0.24,0.2,0.174867862159014,0.1,0.994171714880008,13.0,1.0014893826110265,6.242434077601441,1.0014893826110265,1.0014893826110265,1,-1.0,-1.0,-1.0,-1.0,False,,21.144290621768832,6.197806025986443,0.2931196007874377
GN,2,KmiNG,0.24,0.2,0.1955473796481082,0.1,0.994171714880008,13.0,1.0014904017797719,6.242532128825111,1.0014904017797719,1.0014904017797719,1,-1.0,-1.0,-1.0,-1.0,False,,21.226837090522892,6.195179182926954,0.2918559725364315
GN,2,KmiNG,0.24,0.2,0.2186724147886556,0.1,0.994171714880008,13.0,1.0014912337784763,6.242612021324586,1.0014912337784763,1.0014912337784763,1,-1.0,-1.0,-1.0,-1.0,False,,21.327564434316333,6.192292608387134,0.2903422295338915
GN,2,KmiNG,0.24,0.2,0.24453216952101695,0.1,0.994171714880008,13.0,1.0014917837066433,6.24266453049322,1.0014917837066433,1.0014917837066433,1,-1.0,-1.0,-1.0,-1.0,False,,21.45070089382069,6.189128807165638,0.2885280456709245
GN,2,KmiNG,0.24,0.2,0.27345004621843816,0.1,0.994171714880008,13.0,1.00149186462724,6.242671694011835,1.00149186462724,1.00149186462724,1,-1.0,-1.0,-1.0,-1.0,False,,18.432632849398477,6.1856657224397615,0.3355823214718684
GN,2,KmiNG,0.24,0.2,0.3057876921606392,0.1,0.994171714880008,13.0,1.001491912392369,6.242676149884316,1.001491912392369,1.001491912392369,1,-1.0,-1.0,-1.0,-1.0,False,,18.6313353223097,6.181947479913255,0.33180377965238017
