network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GN,2,alphaGN,2.8000000000000003,0.2,0.1,0.1,0.994171714880008,13.0,2.46293371442456,3.9846625541696743,2.46293371442456,2.46293371442456,1,-1.0,-1.0,-1.0,-1.0,False,,19.78268242512854,4.5468735300789165,0.22984110204910052
GN,2,alphaGN,2.8000000000000003,0.2,0.11182579648071041,0.1,0.994171714880008,13.0,2.4633870440437127,3.984951886966005,2.4633870440437127,2.4633870440437127,1,-1.0,-1.0,-1.0,-1.0,False,,19.812137813241762,4.541221362704178,0.22921410125004174
GN,2,alphaGN,2.8000000000000003,0.2,0.12505008758545266,0.1,0.994171714880008,13.0,2.46338842289959,3.984952762006771,2.46338842289959,2.46338842289959,1,-1.0,-1.0,-1.0,-1.0,False,,19.851012126677357,4.5343890584536,0.22842105125511108
GN,2,alphaGN,2.8000000000000003,0.2,0.1398382564422584,0.1,0.994171714880008,13.0,2.4634193498003993,3.984972388493195,2.4634193498003993,2.4634193498003993,1,-1.0,-1.0,-1.0,-1.0,False,,19.900516155335822,4.526813399817351,0.22747216024362266
GN,2,alphaGN,2.8000000000000003,0.2,0.15637524405129377,0.1,0.994171714880008,13.0,2.4633897907542495,3.984953627753868,2.4633897907542495,2.4633897907542495,1,-1.0,-1.0,-1.0,-1.0,False,,19.963118208365064,4.518316147470978,0.2263331860439361
GN,2,alphaGN,2.8000000000000003,0.2,0.174867862159014,0.1,0.994171714880008,13.0,2.463412903156934,3.9849682931202195,2.463412903156934,2.463412903156934,1,-1.0,-1.0,-1.0,-1.0,False,,20.043307219523605,4.508926373675401,0.2249592008091053
GN,2,alphaGN,2.8000000000000003,0.2,0.1955473796481082,0.1,0.994171714880008,13.0,2.4633240029778607,3.9849121368197795,2.4633240029778607,2.4633240029778607,1,-1.0,-1.0,-1.0,-1.0,False,,20.130614396473042,4.49837227496019,0.2234592639034565
GN,2,alphaGN,2.8000000000000003,0.2,0.2186724147886556,0.1,0.994171714880008,13.0,2.4633598253571263,3.9849348437205294,2.4633598253571263,2.4633598253571263,1,-1.0,-1.0,-1.0,-1.0,False,,20.47653996895814,4.4867962190318424,0.21911886606983894
GN,2,alphaGN,2.8000000000000003,0.2,0.24453216952101695,0.1,0.994171714880008,13.0,2.4633938501701995,3.9849564503598467,2.4633938501701995,2.4633938501701995,1,-1.0,-1.0,-1.0,-1.0,False,,20.043539211869223,4.473950578520721,0.22321160605564974
GN,2,alphaGN,2.8000000000000003,0.2,0.27345004621843816,0.1,0.994171714880008,13.0,2.4634312143928043,3.984980135858885,2.4634312143928043,2.4634312143928043,1,-1.0,-1.0,-1.0,-1.0,False,,20.38491108831019,4.459718396151991,0.21877546469699513
GN,2,alphaGN,2.8000000000000003,0.2,0.3057876921606392,0.1,0.994171714880008,13.0,2.461938829853331,3.9840305594213956,2.461938829853331,2.461938829853331,1,-1.0,-1.0,-1.0,-1.0,False,,20.469967575900064,4.44237336511608,0.2170190718985909
GN,2,alphaGN,2.8000000000000003,0.2,0.34194952229861764,0.1,0.994171714880008,13.0,2.460964130431572,3.9834119096463905,2.460964130431572,2.460964130431572,1,-1.0,-1.0,-1.0,-1.0,False,,20.661796683438954,4.423924837682517,0.21411133336862348
GN,2,alphaGN,2.8000000000000003,0.2,0.38238777687241365,0.1,0.994171714880008,13.0,2.4632743399759036,3.9848805615975786,2.4632743399759036,2.4632743399759036,1,-1.0,-1.0,-1.0,-1.0,False,,20.52686417033896,4.4070836010204495,0.21469833699141563
GN,2,alphaGN,2.8000000000000003,0.2,0.42760817713245836,0.1,0.994171714880008,13.0,2.4636098995431874,3.985093706156681,2.4636098995431874,2.4636098995431874,1,-1.0,-1.0,-1.0,-1.0,False,,20.392708615011713,4.38625764396914,0.21508950707706762
GN,2,alphaGN,2.8000000000000003,0.2,0.4781762498950185,0.1,0.994171714880008,13.0,2.463458204806739,3.984997219320155,2.463458204806739,2.463458204806739,1,-1.0,-1.0,-1.0,-1.0,False,,20.34935698714397,4.362860052147379,0.21439793183163897
GN,2,alphaGN,2.8000000000000003,0.2,0.5347244000266966,0.1,0.994171714880008,13.0,2.4621952787531,3.9841928010449497,2.4621952787531,2.4621952787531,1,-1.0,-1.0,-1.0,-1.0,False,,22.377698965664877,4.336138570667195,0.19377052919159965
GN,2,alphaGN,2.8000000000000003,0.2,0.5979598193065536,0.1,0.994171714880008,13.0,2.463811722560265,3.9852217460790174,2.463811722560265,2.463811722560265,1,-1.0,-1.0,-1.0,-1.0,False,,22.15341369642767,4.310029157799375,0.19455372507643753
GN,2,alphaGN,2.8000000000000003,0.2,0.6686733305741702,0.1,0.994171714880008,13.0,2.4628031926820606,3.9845793054921135,2.4628031926820606,2.4628031926820606,1,-1.0,-1.0,-1.0,-1.0,False,,22.353165474402108,4.278885175225536,0.19142188967041526
GN,2,alphaGN,2.8000000000000003,0.2,0.7477492777686596,0.1,0.994171714880008,13.0,2.463765070210825,3.98519214227837,2.463765070210825,2.463765070210825,1,-1.0,-1.0,-1.0,-1.0,False,,22.51667090884766,4.24728480117975,0.18862845304146755
GN,2,alphaGN,2.8000000000000003,0.2,0.8361765855435632,0.1,0.994171714880008,13.0,2.463538991942842,3.985048324352624,2.463538991942842,2.463538991942842,1,-1.0,-1.0,-1.0,-1.0,False,,22.357868320626867,4.212114538366303,0.18839517604995915
GN,2,alphaGN,2.8000000000000003,0.2,0.9350611267692985,0.1,0.994171714880008,13.0,2.463756087486394,3.985186424061519,2.463756087486394,2.463756087486394,1,-1.0,-1.0,-1.0,-1.0,False,,22.49508123427796,4.175114589162048,0.18560122302648174
GN,2,alphaGN,2.8000000000000003,0.2,1.0456395525912732,0.1,0.994171714880008,13.0,2.463792626027866,3.9852096287877328,2.463792626027866,2.463792626027866,1,-1.0,-1.0,-1.0,-1.0,False,,22.40684161328963,4.135941488865935,0.18458386774211338
GN,2,alphaGN,2.8000000000000003,0.2,1.169294758002528,0.1,0.994171714880008,13.0,2.4636238787794182,3.9851023199030426,2.4636238787794182,2.4636238787794182,1,-1.0,-1.0,-1.0,-1.0,False,,22.56974655206767,4.095034543078615,0.1814391018362348
GN,2,alphaGN,2.8000000000000003,0.2,1.3075731763435225,0.1,0.994171714880008,13.0,2.463563140125006,3.9850638543155674,2.463563140125006,2.463563140125006,1,-1.0,-1.0,-1.0,-1.0,False,,22.71297858573291,4.053397827560582,0.1784617465411037
GN,2,alphaGN,2.8000000000000003,0.2,1.4622041190142678,0.1,0.994171714880008,13.0,2.4632669676958496,3.9848756829570635,2.4632669676958496,2.4632669676958496,1,-1.0,-1.0,-1.0,-1.0,False,,22.792630612312628,4.011780888712841,0.17601219257884468
GN,2,alphaGN,2.8000000000000003,0.2,1.6351214022614597,0.1,0.994171714880008,13.0,2.463233213358182,3.9848542625028416,2.463233213358182,2.463233213358182,1,-1.0,-1.0,-1.0,-1.0,False,,22.830680236209112,3.9721356739875326,0.17398236201862202
GN,2,alphaGN,2.8000000000000003,0.2,1.8284875315054385,0.1,0.994171714880008,13.0,2.463413128027363,3.9849685612219217,2.463413128027363,2.463413128027363,1,-1.0,-1.0,-1.0,-1.0,False,,22.831541146495752,3.936510032351175,0.17241543210303004
