df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO2vGN,GNEvGN,alphaGN,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,alphaEO,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,alphaEO,0.2,8.101710319704768e-11,True,True,True
GNEO2vGN,GNEvGN,alphaEO,0.25,3.358604245152201e-10,True,True,True
GNEO2vGN,GNEvGN,alphaEO,0.5,3.48413427208662e-08,True,True,True
GNEO2vGN,GNEvGN,alphaEO,0.75,1.5350403813474283e-07,True,True,True
GNEO2vGN,GNEvGN,alphaEO,1.25,7.762296058442276e-11,True,True,True
GNEO2vGN,GNEvGN,alphaEO,2.0,2.779561294424863e-10,True,True,True
GNEO2vGN,GNEvGN,alphaEO,3.0,1.0095561845258759e-06,True,True,True
GNEO2vGN,GNEvGN,alphaEO,4.0,0.010729991081933113,True,False,False
GNEO2vGN,GNEvGN,alphaEO,5.0,0.2868036398540782,False,False,False
GNEO2vGN,GNEvGN,KaaNG,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KaaNG,0.2,0.22176310859659126,False,False,False
GNEO2vGN,GNEvGN,KaaNG,0.25,0.008225305337252664,True,True,False
GNEO2vGN,GNEvGN,KaaNG,0.5,0.0006252840367702174,True,True,True
GNEO2vGN,GNEvGN,KaaNG,0.75,0.0007338331929082936,True,True,True
GNEO2vGN,GNEvGN,KaaNG,1.25,8.597142395142176e-21,True,True,True
GNEO2vGN,GNEvGN,KaaNG,2.0,7.587253894040589e-43,True,True,True
GNEO2vGN,GNEvGN,KaaNG,3.0,6.06017571755513e-49,True,True,True
GNEO2vGN,GNEvGN,KaaNG,4.0,1.3555064079244538e-32,True,True,True
GNEO2vGN,GNEvGN,KmiNG,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KmiNG,0.75,2.0747627129518492e-13,True,True,True
GNEO2vGN,GNEvGN,KmiEN,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KmiEN,0.2,0.994918402253372,False,False,False
GNEO2vGN,GNEvGN,KmiEN,0.25,0.9934379534208313,False,False,False
GNEO2vGN,GNEvGN,KmiEN,0.5,0.5843949838784426,False,False,False
GNEO2vGN,GNEvGN,KmiEN,0.75,0.002510308813644666,True,True,False
GNEO2vGN,GNEvGN,KmiEN,1.25,7.521881742249004e-24,True,True,True
GNEO2vGN,GNEvGN,KmiEN,2.0,1.2261434951830461e-99,True,True,True
GNEO2vGN,GNEvGN,KmiEN,3.0,2.1545041572803955e-126,True,True,True
GNEO2vGN,GNEvGN,KmiEN,4.0,1.2980406519246282e-128,True,True,True
GNEO2vGN,GNEvGN,KmiEN,5.0,4.5853555612441935e-126,True,True,True
GNEO2vGN,GNEvGN,KNEG,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KNEG,0.2,7.007613485856659e-20,True,True,True
GNEO2vGN,GNEvGN,KNEG,0.25,1.9090588278641858e-17,True,True,True
GNEO2vGN,GNEvGN,KNEG,0.5,4.4600775653364075e-10,True,True,True
GNEO2vGN,GNEvGN,KNEG,0.75,3.129649951771239e-09,True,True,True
GNEO2vGN,GNEvGN,KNEG,1.25,4.979003917636273e-10,True,True,True
GNEO2vGN,GNEvGN,KNEG,2.0,9.516577109577947e-05,True,True,True
GNEO2vGN,GNEvGN,KNEG,3.0,0.00228643278772481,True,True,False
GNEO2vGN,GNEvGN,KNEG,4.0,0.0012058787084974092,True,True,False
GNEO2vGN,GNEvGN,KNEG,5.0,0.0005869488253962104,True,True,True
GNEO2vGN,GNEvGN,KEG,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KEG,0.2,5.727612886433486e-17,True,True,True
GNEO2vGN,GNEvGN,KEG,0.25,9.795643231188694e-17,True,True,True
GNEO2vGN,GNEvGN,KEG,0.5,6.001230078774766e-13,True,True,True
GNEO2vGN,GNEvGN,KEG,0.75,2.0865354579359703e-05,True,True,True
GNEO2vGN,GNEvGN,KEG,1.25,8.686466128803922e-12,True,True,True
GNEO2vGN,GNEvGN,KEG,2.0,8.319625292294359e-12,True,True,True
GNEO2vGN,GNEvGN,KEG,3.0,8.965022865937764e-21,True,True,True
GNEO2vGN,GNEvGN,KEG,4.0,3.941896057642776e-26,True,True,True
GNEO2vGN,GNEvGN,KEG,5.0,2.250837882383659e-28,True,True,True
GNEO2vGN,GNEvGN,KOG,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,0.2,1.29965515718327e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,0.25,1.29965515718327e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,0.5,1.3013753178905695e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,0.75,1.5228084421486974e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,1.25,1.0164587318373084e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,2.0,1.1037191221427528e-11,True,True,True
GNEO2vGN,GNEvGN,KOG,3.0,9.539994227127433e-12,True,True,True
GNEO2vGN,GNEvGN,KOG,4.0,3.3668779253239304e-12,True,True,True
GNEO2vGN,GNEvGN,KOG,5.0,1.431179877338388e-14,True,True,True
GNEO2vGN,GNEvGN,KmaON,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KmaON,0.2,5.928534034471139e-13,True,True,True
GNEO2vGN,GNEvGN,KmaON,0.25,1.5840237146502268e-12,True,True,True
GNEO2vGN,GNEvGN,KmaON,0.5,1.1434680291930653e-11,True,True,True
GNEO2vGN,GNEvGN,KmaON,0.75,9.758315135651154e-12,True,True,True
GNEO2vGN,GNEvGN,KmaON,1.25,1.2888123767136663e-11,True,True,True
GNEO2vGN,GNEvGN,KmaON,2.0,2.097351903115069e-11,True,True,True
GNEO2vGN,GNEvGN,KmaON,3.0,7.831703191325816e-11,True,True,True
GNEO2vGN,GNEvGN,KmaON,4.0,6.831526998248658e-10,True,True,True
GNEO2vGN,GNEvGN,KmaON,5.0,3.784919926604612e-09,True,True,True
GNEO2vGN,GNEvGN,KmaOE,1.0,1.2326441782410305e-11,True,True,True
GNEO2vGN,GNEvGN,KmaOE,0.2,1.9798724990388933e-11,True,True,True
GNEO2vGN,GNEvGN,KmaOE,0.25,1.9193716458674225e-11,True,True,True
GNEO2vGN,GNEvGN,KmaOE,0.5,8.435182056534302e-12,True,True,True
GNEO2vGN,GNEvGN,KmaOE,0.75,9.158191764631076e-12,True,True,True
GNEO2vGN,GNEvGN,KmaOE,1.25,3.5582152617296556e-12,True,True,True
GNEO2vGN,GNEvGN,KmaOE,2.0,5.375535799164749e-12,True,True,True
GNEO2vGN,GNEvGN,KmaOE,3.0,4.784669758111646e-12,True,True,True
GNEO2vGN,GNEvGN,KmaOE,4.0,2.067072565198523e-12,True,True,True
GNEO2vGN,GNEvGN,KmaOE,5.0,1.1090979179696444e-12,True,True,True
