df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO1vGN,GNEvGN,alphaGN,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,alphaEO,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,alphaEO,0.2,7.417644756222474e-13,True,True,True
GNEO1vGN,GNEvGN,alphaEO,0.25,5.317907602075854e-12,True,True,True
GNEO1vGN,GNEvGN,alphaEO,0.5,1.764138438113676e-10,True,True,True
GNEO1vGN,GNEvGN,alphaEO,0.75,4.947400826256688e-09,True,True,True
GNEO1vGN,GNEvGN,alphaEO,1.25,2.879713211063143e-13,True,True,True
GNEO1vGN,GNEvGN,alphaEO,2.0,1.9963768604591666e-11,True,True,True
GNEO1vGN,GNEvGN,alphaEO,3.0,5.686350322190407e-07,True,True,True
GNEO1vGN,GNEvGN,alphaEO,4.0,0.004057426781792655,True,True,False
GNEO1vGN,GNEvGN,alphaEO,5.0,0.19103477959602,False,False,False
GNEO1vGN,GNEvGN,KaaNG,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KaaNG,0.2,0.0600697339716205,False,False,False
GNEO1vGN,GNEvGN,KaaNG,0.25,0.003258272844119565,True,True,False
GNEO1vGN,GNEvGN,KaaNG,0.5,6.028022984710543e-05,True,True,True
GNEO1vGN,GNEvGN,KaaNG,0.75,7.480606079686807e-05,True,True,True
GNEO1vGN,GNEvGN,KaaNG,1.25,1.505999043188755e-22,True,True,True
GNEO1vGN,GNEvGN,KaaNG,2.0,3.684252661008519e-47,True,True,True
GNEO1vGN,GNEvGN,KaaNG,3.0,1.1426883026874942e-50,True,True,True
GNEO1vGN,GNEvGN,KaaNG,4.0,1.4191842259310652e-35,True,True,True
GNEO1vGN,GNEvGN,KmiNG,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KmiNG,0.75,4.410020652808684e-12,True,True,True
GNEO1vGN,GNEvGN,KmiEN,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KmiEN,0.2,0.9758798420671382,False,False,False
GNEO1vGN,GNEvGN,KmiEN,0.25,0.9762010768619305,False,False,False
GNEO1vGN,GNEvGN,KmiEN,0.5,0.3860387039400917,False,False,False
GNEO1vGN,GNEvGN,KmiEN,0.75,0.00041795523799758845,True,True,True
GNEO1vGN,GNEvGN,KmiEN,1.25,7.969028245292704e-20,True,True,True
GNEO1vGN,GNEvGN,KmiEN,2.0,3.554623917950477e-77,True,True,True
GNEO1vGN,GNEvGN,KmiEN,3.0,7.174883631152473e-90,True,True,True
GNEO1vGN,GNEvGN,KmiEN,4.0,4.957013699766362e-96,True,True,True
GNEO1vGN,GNEvGN,KmiEN,5.0,1.5048245918319163e-100,True,True,True
GNEO1vGN,GNEvGN,KNEG,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KNEG,0.2,9.33984733806514e-22,True,True,True
GNEO1vGN,GNEvGN,KNEG,0.25,1.8416084249210556e-19,True,True,True
GNEO1vGN,GNEvGN,KNEG,0.5,1.160782602311691e-11,True,True,True
GNEO1vGN,GNEvGN,KNEG,0.75,6.521589947193769e-11,True,True,True
GNEO1vGN,GNEvGN,KNEG,1.25,5.4094342979530894e-12,True,True,True
GNEO1vGN,GNEvGN,KNEG,2.0,3.430403898708349e-06,True,True,True
GNEO1vGN,GNEvGN,KNEG,3.0,0.00017976135259883472,True,True,True
GNEO1vGN,GNEvGN,KNEG,4.0,9.239195965552657e-05,True,True,True
GNEO1vGN,GNEvGN,KNEG,5.0,3.364034742693052e-05,True,True,True
GNEO1vGN,GNEvGN,KEG,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KEG,0.2,2.058400090330656e-19,True,True,True
GNEO1vGN,GNEvGN,KEG,0.25,3.8527185693493802e-19,True,True,True
GNEO1vGN,GNEvGN,KEG,0.5,2.3257375504553063e-15,True,True,True
GNEO1vGN,GNEvGN,KEG,0.75,6.003558092841575e-07,True,True,True
GNEO1vGN,GNEvGN,KEG,1.25,1.601085693489607e-13,True,True,True
GNEO1vGN,GNEvGN,KEG,2.0,7.080698865187948e-14,True,True,True
GNEO1vGN,GNEvGN,KEG,3.0,1.1293520426676848e-22,True,True,True
GNEO1vGN,GNEvGN,KEG,4.0,2.6616120772775576e-28,True,True,True
GNEO1vGN,GNEvGN,KEG,5.0,6.377034753112313e-31,True,True,True
GNEO1vGN,GNEvGN,KOG,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,0.2,1.523794260866895e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,0.25,1.523794260866895e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,0.5,1.3081981678982268e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,0.75,1.3031644266448134e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,1.25,1.6243130000075447e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,2.0,2.5656328323190585e-14,True,True,True
GNEO1vGN,GNEvGN,KOG,3.0,3.110215354171791e-14,True,True,True
GNEO1vGN,GNEvGN,KOG,4.0,1.3081981678982268e-13,True,True,True
GNEO1vGN,GNEvGN,KOG,5.0,1.6884435240902963e-15,True,True,True
GNEO1vGN,GNEvGN,KmaON,1.0,1.1011476267487994e-13,True,True,True
GNEO1vGN,GNEvGN,KmaON,0.2,1.3368708547120083e-13,True,True,True
GNEO1vGN,GNEvGN,KmaON,0.25,1.2093072632738316e-13,True,True,True
GNEO1vGN,GNEvGN,KmaON,0.5,1.273973141481679e-13,True,True,True
GNEO1vGN,GNEvGN,KmaON,0.75,1.982621058625973e-14,True,True,True
GNEO1vGN,GNEvGN,KmaON,1.25,9.732777272443475e-11,True,True,True
GNEO1vGN,GNEvGN,KmaON,2.0,0.0009057600058330543,True,True,True
GNEO1vGN,GNEvGN,KmaON,3.0,0.05705171430967608,False,False,False
GNEO1vGN,GNEvGN,KmaON,4.0,0.038342655954754876,True,False,False
GNEO1vGN,GNEvGN,KmaON,5.0,0.02445245326628543,True,False,False
