df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO2vGN,GNEO1vGN,alphaGN,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,0.2,0.6895545362703457,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,0.25,0.6587365559265055,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,0.5,0.7946409289175862,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,0.75,0.7230977120500964,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,1.25,0.8226596210752213,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,2.0,0.6171022839645927,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,3.0,0.5158252299467939,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,4.0,0.5937101393960726,False,False,False
GNEO2vGN,GNEO1vGN,alphaEO,5.0,0.5915997944936453,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,0.2,0.7871987545510054,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,0.25,0.7466489972705185,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,0.5,0.7051653235821141,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,0.75,0.6640171674224249,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,1.25,0.7251095368954805,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,2.0,0.7251959051553662,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,3.0,0.7332117315014328,False,False,False
GNEO2vGN,GNEO1vGN,KaaNG,4.0,0.8158830623615543,False,False,False
GNEO2vGN,GNEO1vGN,KmiNG,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KmiNG,0.75,0.3289766174950825,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,0.2,0.6715382838926635,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,0.25,0.6571438540981319,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,0.5,0.7340619921295563,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,0.75,0.7492107058060791,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,1.25,0.2042195319170968,False,False,False
GNEO2vGN,GNEO1vGN,KmiEN,2.0,0.0011013425732005217,True,True,False
GNEO2vGN,GNEO1vGN,KmiEN,3.0,1.9052164988350929e-06,True,True,True
GNEO2vGN,GNEO1vGN,KmiEN,4.0,3.700950124272711e-05,True,True,True
GNEO2vGN,GNEO1vGN,KmiEN,5.0,0.004669082862216746,True,True,False
GNEO2vGN,GNEO1vGN,KNEG,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,0.2,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,0.25,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,0.5,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,0.75,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,1.25,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,2.0,0.7645673877763297,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,3.0,0.7645673877763297,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,4.0,0.7645275633816841,False,False,False
GNEO2vGN,GNEO1vGN,KNEG,5.0,0.7645076497904634,False,False,False
GNEO2vGN,GNEO1vGN,KEG,1.0,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KEG,0.2,0.7640892497886503,False,False,False
GNEO2vGN,GNEO1vGN,KEG,0.25,0.765044990468939,False,False,False
GNEO2vGN,GNEO1vGN,KEG,0.5,0.7645673877763297,False,False,False
GNEO2vGN,GNEO1vGN,KEG,0.75,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KEG,1.25,0.7646072084536464,False,False,False
GNEO2vGN,GNEO1vGN,KEG,2.0,0.7646072084536464,False,False,False
