df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO1,GNE,KOG,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KOG,0.2,0.9994800775869396,False,False,False
GNEO1,GNE,KOG,4.0,0.9950886250133978,False,False,False
GNEO1,GNE,KOG,0.75,0.9994548389026304,False,False,False
GNEO1,GNE,KOG,1.25,0.9994299015415635,False,False,False
GNEO1,GNE,KOG,5.0,0.9567001785049702,False,False,False
GNEO1,GNE,KOG,2.0,0.9989880174183897,False,False,False
GNEO1,GNE,KOG,0.5,0.9994544649330186,False,False,False
GNEO1,GNE,KOG,3.0,0.9973225031380132,False,False,False
GNEO1,GNE,KOG,0.25,0.9994804352843405,False,False,False
GNEO1,GNE,alphaEO,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,alphaEO,0.2,0.9956846498488973,False,False,False
GNEO1,GNE,alphaEO,4.0,0.9999999890084025,False,False,False
GNEO1,GNE,alphaEO,0.75,0.9999348152169685,False,False,False
GNEO1,GNE,alphaEO,1.25,0.9999598820147213,False,False,False
GNEO1,GNE,alphaEO,5.0,0.999999992415385,False,False,False
GNEO1,GNE,alphaEO,2.0,0.9999947079382053,False,False,False
GNEO1,GNE,alphaEO,0.5,0.9989537852367399,False,False,False
GNEO1,GNE,alphaEO,3.0,0.9999998007165682,False,False,False
GNEO1,GNE,alphaEO,0.25,0.9960462212927612,False,False,False
GNEO1,GNE,KEG,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KEG,0.2,1.864414609363091e-19,True,True,True
GNEO1,GNE,KEG,4.0,0.9886360867271976,False,False,False
GNEO1,GNE,KEG,0.75,0.0246125682027536,True,False,False
GNEO1,GNE,KEG,1.25,0.9999957808771817,False,False,False
GNEO1,GNE,KEG,5.0,0.9739181814344999,False,False,False
GNEO1,GNE,KEG,2.0,0.9999983315129689,False,False,False
GNEO1,GNE,KEG,0.5,1.8806798647888227e-14,True,True,True
GNEO1,GNE,KEG,3.0,0.9972522023710013,False,False,False
GNEO1,GNE,KEG,0.25,2.276289196621003e-19,True,True,True
GNEO1,GNE,KaaNG,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KaaNG,0.2,0.3664588237213605,False,False,False
GNEO1,GNE,KaaNG,4.0,1.0,False,False,False
GNEO1,GNE,KaaNG,0.75,0.9882942415346142,False,False,False
GNEO1,GNE,KaaNG,1.25,0.9999993213767802,False,False,False
GNEO1,GNE,KaaNG,5.0,1.0,False,False,False
GNEO1,GNE,KaaNG,2.0,0.9999999874548801,False,False,False
GNEO1,GNE,KaaNG,0.5,0.446475971498671,False,False,False
GNEO1,GNE,KaaNG,3.0,0.9999999999999999,False,False,False
GNEO1,GNE,KaaNG,0.25,0.32177472659942286,False,False,False
GNEO1,GNE,KmaOE,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,0.2,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,4.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,0.75,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,1.25,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,5.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,2.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,0.5,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,3.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmaOE,0.25,0.9994130511746038,False,False,False
GNEO1,GNE,KmaON,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmaON,0.2,0.9991234500172406,False,False,False
GNEO1,GNE,KmaON,4.0,0.9999999999999929,False,False,False
GNEO1,GNE,KmaON,0.75,0.9990048537713457,False,False,False
GNEO1,GNE,KmaON,1.25,0.9999582479959023,False,False,False
GNEO1,GNE,KmaON,5.0,0.999999999999666,False,False,False
GNEO1,GNE,KmaON,2.0,0.9999999995658085,False,False,False
GNEO1,GNE,KmaON,0.5,0.9993531625327019,False,False,False
GNEO1,GNE,KmaON,3.0,0.9999999999998894,False,False,False
GNEO1,GNE,KmaON,0.25,0.9988473503400309,False,False,False
GNEO1,GNE,KmiEN,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmiEN,0.2,0.9981442801197642,False,False,False
GNEO1,GNE,KmiEN,4.0,2.7801121371000258e-21,True,True,True
GNEO1,GNE,KmiEN,0.75,1.0,False,False,False
GNEO1,GNE,KmiEN,1.25,0.07104732393347532,False,False,False
GNEO1,GNE,KmiEN,5.0,1.2196993865960814e-22,True,True,True
GNEO1,GNE,KmiEN,2.0,1.1024296436368814e-16,True,True,True
GNEO1,GNE,KmiEN,0.5,1.0,False,False,False
GNEO1,GNE,KmiEN,3.0,2.4028102457060436e-20,True,True,True
GNEO1,GNE,KmiEN,0.25,0.9999977436184075,False,False,False
GNEO1,GNE,KNEG,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KNEG,0.2,0.999614974453041,False,False,False
GNEO1,GNE,KNEG,4.0,0.006125143698726632,True,True,False
GNEO1,GNE,KNEG,0.75,0.9999955269660941,False,False,False
GNEO1,GNE,KNEG,1.25,0.998632016961829,False,False,False
GNEO1,GNE,KNEG,5.0,0.00019388548374723973,True,True,True
GNEO1,GNE,KNEG,2.0,0.90240975391764,False,False,False
GNEO1,GNE,KNEG,0.5,0.999998401777555,False,False,False
GNEO1,GNE,KNEG,3.0,0.1615260784267804,False,False,False
GNEO1,GNE,KNEG,0.25,0.9997937022175909,False,False,False
GNEO1,GNE,alphaGN,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmiNG,1.0,0.9994130511746038,False,False,False
GNEO1,GNE,KmiNG,0.75,4.757134104630868e-05,True,True,True
