df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNE,GN,alphaEO,0.5,8.65598573028296e-09,True,True,True
GNE,GN,alphaEO,0.25,7.59536374134192e-08,True,True,True
GNE,GN,alphaEO,0.2,2.972384990270534e-07,True,True,True
GNE,GN,alphaEO,1.25,3.5356130937171642e-09,True,True,True
GNE,GN,alphaEO,0.75,3.7308709761156515e-10,True,True,True
GNE,GN,alphaEO,1.0,2.171210452270962e-08,True,True,True
GNE,GN,alphaEO,2.0,2.8124631966954348e-09,True,True,True
GNE,GN,alphaEO,5.0,3.3439182596506526e-13,True,True,True
GNE,GN,alphaEO,3.0,2.0115206829539403e-10,True,True,True
GNE,GN,alphaEO,4.0,7.874127496950572e-13,True,True,True
GNE,GN,KEG,0.5,0.9179082333549906,False,False,False
GNE,GN,KEG,0.25,0.9875440751669534,False,False,False
GNE,GN,KEG,0.2,0.9888313051481807,False,False,False
GNE,GN,KEG,1.25,1.6182092970457632e-09,True,True,True
GNE,GN,KEG,0.75,0.003654791975745253,True,True,False
GNE,GN,KEG,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KEG,2.0,1.519042868127766e-10,True,True,True
GNE,GN,KEG,5.0,0.0001647119587975879,True,True,True
GNE,GN,KEG,3.0,1.0568098045918854e-06,True,True,True
GNE,GN,KEG,4.0,2.7200502281739015e-05,True,True,True
GNE,GN,KmaON,0.5,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,0.25,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,0.2,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,1.25,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,0.75,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,2.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,5.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,3.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaON,4.0,2.171210452270962e-08,True,True,True
GNE,GN,KmiEN,0.5,7.418430706244757e-15,True,True,True
GNE,GN,KmiEN,0.25,6.364668814328715e-07,True,True,True
GNE,GN,KmiEN,0.2,6.279471163351876e-05,True,True,True
GNE,GN,KmiEN,1.25,0.03614340562547169,True,False,False
GNE,GN,KmiEN,0.75,3.550880853431691e-16,True,True,True
GNE,GN,KmiEN,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KmiEN,2.0,0.9999998593281834,False,False,False
GNE,GN,KmiEN,5.0,0.9999999999966847,False,False,False
GNE,GN,KmiEN,3.0,0.9999999999913174,False,False,False
GNE,GN,KmiEN,4.0,0.9999999999998571,False,False,False
GNE,GN,KNEG,0.5,3.2918613892194155e-10,True,True,True
GNE,GN,KNEG,0.25,1.738220171439977e-07,True,True,True
GNE,GN,KNEG,0.2,4.6520350906342014e-07,True,True,True
GNE,GN,KNEG,1.25,2.3331776094671977e-08,True,True,True
GNE,GN,KNEG,0.75,2.438181619268417e-10,True,True,True
GNE,GN,KNEG,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KNEG,2.0,8.468511052862158e-07,True,True,True
GNE,GN,KNEG,5.0,0.1755290281916272,False,False,False
GNE,GN,KNEG,3.0,0.001127579872603111,True,True,False
GNE,GN,KNEG,4.0,0.03868882001545308,True,False,False
GNE,GN,KaaNG,0.5,0.00026034173956618806,True,True,True
GNE,GN,KaaNG,0.25,0.17124957511799105,False,False,False
GNE,GN,KaaNG,0.2,0.1690697832528787,False,False,False
GNE,GN,KaaNG,1.25,1.0952958136718715e-06,True,True,True
GNE,GN,KaaNG,0.75,1.683147190277002e-12,True,True,True
GNE,GN,KaaNG,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KaaNG,2.0,0.9244612451870223,False,False,False
GNE,GN,KaaNG,3.0,1.0,False,False,False
GNE,GN,KaaNG,4.0,1.0,False,False,False
GNE,GN,KOG,0.5,2.171210452270962e-08,True,True,True
GNE,GN,KOG,0.25,2.171210452270962e-08,True,True,True
GNE,GN,KOG,0.2,2.171210452270962e-08,True,True,True
GNE,GN,KOG,1.25,2.171210452270962e-08,True,True,True
GNE,GN,KOG,0.75,2.171210452270962e-08,True,True,True
GNE,GN,KOG,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KOG,2.0,2.171210452270962e-08,True,True,True
GNE,GN,KOG,5.0,2.171210452270962e-08,True,True,True
GNE,GN,KOG,3.0,2.171210452270962e-08,True,True,True
GNE,GN,KOG,4.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,0.5,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,0.25,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,0.2,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,1.25,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,0.75,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,2.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,5.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,3.0,2.171210452270962e-08,True,True,True
GNE,GN,KmaOE,4.0,2.171210452270962e-08,True,True,True
GNE,GN,alphaGN,1.0,2.171210452270962e-08,True,True,True
GNE,GN,KmiNG,0.75,6.21426423924214e-23,True,True,True
GNE,GN,KmiNG,1.0,2.171210452270962e-08,True,True,True
